Municipios,Año,Algodón a,Algodón b,Arroz a,Arroz,Frijol a,Frijol b,Maiz Tecnificado a,Maiz Tecnificado b,Maiz Tradicional a,Maiz Tradicional b,Sorgo a,Sorgo b,Soya a,Soya b,Tabaco a,Tabaco b
Cali,2019-01-01,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
AlcalÃ¡,2019-01-01,0.0,,0.0,0.0,1.4,1.2,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Andalucia,2019-01-01,0.0,,0.0,0.0,0.0,0.0,7.5,7.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ansermanuevo,2019-01-01,0.0,,0.0,4.0,1.5,1.33,7.0,8.0,2.0,2.0,0.0,0.0,0.0,3.5,0.0,0.0
Argelia,2019-01-01,0.0,,0.0,0.0,1.5,1.4,0.0,0.0,1.8,1.3,0.0,0.0,0.0,0.0,0.0,0.0
Bolivar,2019-01-01,0.0,,0.0,0.0,1.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Buenaventura,2019-01-01,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buga,2019-01-01,0.0,,5.5,5.5,1.0,1.0,7.0,7.0,1.8,1.8,0.0,0.0,0.0,0.0,0.0,0.0
Bugalagrande,2019-01-01,0.0,,0.0,0.0,0.9,0.9,7.5,7.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Caicedonia,2019-01-01,0.0,,0.0,0.0,0.96,0.98,7.0,7.5,2.52,2.31,0.0,0.0,0.0,0.0,0.0,0.0
Calima DariÃ©n,2019-01-01,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Candelaria,2019-01-01,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartago,2019-01-01,0.0,,0.0,0.0,1.0,1.0,7.5,7.5,1.5,1.5,0.0,0.0,3.0,3.2,0.0,0.0
Dagua,2019-01-01,0.0,,0.0,0.0,2.94,2.5,0.0,0.0,2.79,2.0,0.0,0.0,0.0,0.0,0.0,0.0
El Aguila,2019-01-01,0.0,,0.0,0.0,1.4,1.4,0.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cairo,2019-01-01,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cerrito,2019-01-01,0.0,,0.0,0.0,2.44,2.44,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dovio,2019-01-01,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.21,1.21,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2019-01-01,0.0,,0.0,0.0,1.0,1.0,8.07,8.06,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ginebra,2019-01-01,0.0,,0.0,0.0,1.5,1.5,7.5,7.5,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
GuacarÃ­,2019-01-01,0.0,,0.0,0.0,1.5,1.5,7.0,8.0,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0
JamundÃ­,2019-01-01,0.0,,5.5,5.5,1.0,1.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
La Cumbre,2019-01-01,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
La UniÃ³n,2019-01-01,3.2,,0.0,0.0,0.0,0.0,5.0,5.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,0.0
La Victoria,2019-01-01,0.0,,0.0,0.0,1.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,3.0,3.0,0.0,0.0
Obando,2019-01-01,0.0,,0.0,0.0,1.7,1.8,8.0,8.0,8.0,8.0,0.0,0.0,3.0,1.8,0.0,0.0
Palmira,2019-01-01,0.0,,0.0,0.0,1.1,1.1,9.0,9.0,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0
Pradera,2019-01-01,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
Restrepo,2019-01-01,0.0,,0.0,0.0,1.26,2.11,4.0,4.0,1.78,1.78,0.0,0.0,0.0,0.0,0.0,0.0
RiofrÃ­o,2019-01-01,0.0,,0.0,0.0,2.5,2.69,8.0,5.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Roldanillo,2019-01-01,5.0,,0.0,0.0,0.5,0.5,6.0,6.0,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0
San Pedro,2019-01-01,0.0,,0.0,0.0,0.8,0.8,5.5,8.0,2.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Sevilla,2019-01-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Toro,2019-01-01,0.0,,0.0,0.0,1.5,1.5,4.5,4.5,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0
Trujillo,2019-01-01,0.0,,0.0,0.0,1.06,1.16,8.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TuluÃ¡,2019-01-01,0.0,,0.0,0.0,1.22,1.0,5.0,5.0,2.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0
Ulloa,2019-01-01,0.0,,0.0,0.0,1.5,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Versalles,2019-01-01,0.0,,0.0,0.0,1.44,1.71,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Vijes,2019-01-01,0.0,,0.0,0.0,0.7,0.8,14.0,13.0,1.5,1.6,0.0,0.0,0.0,0.0,0.0,0.0
Yotoco,2019-01-01,0.0,,0.0,0.0,1.01,0.91,8.5,8.5,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Yumbo,2019-01-01,0.0,,0.0,0.0,1.0,1.0,7.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Zarzal,2019-01-01,0.0,,7.0,7.0,0.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,2.8,2.8,0.0,0.0
Cali,2018-01-01,0.0,,0.0,0.0,13.0,14.0,0.0,0.0,34.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
AlcalÃ¡,2018-01-01,0.0,,0.0,0.0,1.2,1.2,0.0,0.0,2.1,2.1,0.0,0.0,0.0,0.0,0.0,0.0
Andalucia,2018-01-01,0.0,,0.0,0.0,0.0,0.0,7.5,7.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ansermanuevo,2018-01-01,0.0,,0.0,0.0,0.6,1.8,8.0,8.0,1.33,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Argelia,2018-01-01,0.0,,0.0,0.0,1.5,2.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
Bolivar,2018-01-01,2.0,,0.0,5.0,1.0,1.0,7.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Buenaventura,2018-01-01,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buga,2018-01-01,0.0,,5.5,5.5,1.2,1.2,7.5,7.5,2.0,2.0,2.5,0.0,3.5,0.0,0.0,0.0
Bugalagrande,2018-01-01,0.0,,0.0,0.0,0.9,0.9,7.5,7.5,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Caicedonia,2018-01-01,0.0,,0.0,0.0,0.95,0.98,7.0,8.0,2.13,2.33,0.0,0.0,3.4,3.4,0.0,0.0
Calima DariÃ©n,2018-01-01,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Candelaria,2018-01-01,0.0,,0.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cartago,2018-01-01,0.0,,0.0,0.0,1.0,1.0,7.5,7.2,1.5,1.5,0.0,0.0,3.0,3.0,0.0,0.0
Dagua,2018-01-01,0.0,,0.0,0.0,2.91,3.0,0.0,0.0,2.71,2.0,0.0,0.0,0.0,0.0,0.0,0.0
El Aguila,2018-01-01,0.0,,0.0,0.0,1.4,1.35,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cairo,2018-01-01,0.0,,0.0,0.0,1.5,1.5,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
El Cerrito,2018-01-01,0.0,,0.0,0.0,2.9,3.23,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
El Dovio,2018-01-01,0.0,,0.0,0.0,1.0,1.0,0.0,0.0,1.21,1.2,0.0,0.0,0.0,0.0,0.0,0.0
Florida,2018-01-01,0.0,,0.0,0.0,1.0,1.0,8.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Ginebra,2018-01-01,0.0,,0.0,0.0,1.5,1.5,7.0,7.5,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
GuacarÃ­,2018-01-01,0.0,,0.0,0.0,1.5,1.5,6.0,8.0,2.5,3.0,0.0,0.0,0.0,0.0,0.0,0.0
JamundÃ­,2018-01-01,0.0,,6.5,6.5,1.0,1.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
La Cumbre,2018-01-01,0.0,,0.0,0.0,1.1,1.1,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
